blueprint_id,resource,qty
1,Workdays,6752.0
1,Plastics,0.42
1,Electro components,2.0
1,Steel,1.4
1,Fabric,0.004
1,Electronics,0.66
1,Aluminium,21.0
1,Mechanical components,13.0
2,Workdays,707.0
2,Plastics,0.051
2,Electro components,0.18
2,Steel,0.17
2,Fabric,0.004
2,Electronics,0.066
2,Aluminium,2.6
2,Mechanical components,1.1
3,Workdays,7897.0
3,Plastics,0.52
3,Electro components,2.2
3,Steel,1.7
3,Fabric,0.004
3,Electronics,0.77
3,Aluminium,25.0
3,Mechanical components,14.0
4,Workdays,24695.0
4,Plastics,1.5
4,Electro components,7.3
4,Steel,5.1
4,Fabric,0.004
4,Electronics,2.5
4,Aluminium,75.0
4,Mechanical components,49.0
5,Workdays,827.0
5,Plastics,0.057
5,Electro components,0.22
5,Steel,0.19
5,Fabric,0.004
5,Electronics,0.079
5,Aluminium,2.8
5,Mechanical components,1.4
6,Workdays,521.0
6,Plastics,0.039
6,Electro components,0.13
6,Steel,0.13
6,Fabric,0.004
6,Electronics,0.048
6,Aluminium,1.9
6,Mechanical components,0.75
7,Workdays,824.0
7,Plastics,0.052
7,Electro components,0.24
7,Steel,0.17
7,Fabric,0.004
7,Electronics,0.081
7,Aluminium,2.6
7,Mechanical components,1.6
8,Workdays,7717.0
8,Plastics,0.5
8,Electro components,2.2
8,Steel,1.7
8,Fabric,0.004
8,Electronics,0.75
8,Aluminium,24.0
8,Mechanical components,14.0
9,Workdays,326.0
9,Plastics,0.024
9,Electro components,0.081
9,Steel,0.08
9,Fabric,0.004
9,Electronics,0.03
9,Aluminium,1.2
9,Mechanical components,0.49
10,Workdays,9977.0
10,Plastics,0.62
10,Electro components,2.9
10,Steel,2.0
10,Fabric,0.004
10,Electronics,0.99
10,Aluminium,30.0
10,Mechanical components,20.0
11,Workdays,22350.0
11,Plastics,1.4
11,Electro components,6.7
11,Steel,4.5
11,Fabric,0.004
11,Electronics,2.2
11,Aluminium,67.0
11,Mechanical components,46.0
12,Workdays,13057.0
12,Plastics,0.76
12,Electro components,4.0
12,Steel,2.5
12,Fabric,0.004
12,Electronics,1.3
12,Aluminium,38.0
12,Mechanical components,28.0
13,Workdays,5972.0
13,Plastics,0.41
13,Electro components,1.6
13,Steel,1.4
13,Fabric,0.004
13,Electronics,0.57
13,Aluminium,20.0
13,Mechanical components,10.0
14,Workdays,1132.0
14,Plastics,0.081
14,Electro components,0.29
14,Steel,0.271
14,Fabric,0.004
14,Electronics,0.11
14,Aluminium,4.1
14,Mechanical components,1.8
15,Workdays,1428.0
15,Plastics,0.11
15,Electro components,0.34
15,Steel,0.36
15,Fabric,0.004
15,Electronics,0.13
15,Aluminium,5.4
15,Mechanical components,2.0
16,Workdays,35937.0
16,Plastics,1.5
16,Electro components,13.0
16,Steel,4.9
16,Fabric,0.004
16,Electronics,4.0
16,Aluminium,73.0
16,Mechanical components,104.0
17,Workdays,5972.0
17,Plastics,0.41
17,Electro components,1.6
17,Steel,1.4
17,Fabric,0.004
17,Electronics,0.57
17,Aluminium,20.0
17,Mechanical components,10.0
18,Workdays,495.0
18,Plastics,0.035
18,Electro components,0.13
18,Steel,0.12
18,Fabric,0.004
18,Electronics,0.047
18,Aluminium,1.7
18,Mechanical components,0.81
19,Workdays,5982.0
19,Plastics,0.41
19,Electro components,1.6
19,Steel,1.4
19,Fabric,0.004
19,Electronics,0.57
19,Aluminium,20.0
19,Mechanical components,10.0
20,Workdays,90.0
20,Plastics,0.05
20,Electro components,0.029
20,Steel,1.2
20,Fabric,0.004
20,Mechanical components,0.23
21,Workdays,115.0
21,Plastics,0.06
21,Electro components,0.041
21,Steel,1.5
21,Fabric,0.004
21,Mechanical components,0.32
22,Workdays,110.0
22,Plastics,0.064
22,Electro components,0.033
22,Steel,1.5
22,Fabric,0.004
22,Mechanical components,0.25
23,Workdays,89.0
23,Plastics,0.048
23,Electro components,0.03
23,Steel,1.2
23,Fabric,0.004
23,Mechanical components,0.24
24,Workdays,109.0
24,Plastics,0.058
24,Electro components,0.037
24,Steel,1.5
24,Fabric,0.004
24,Mechanical components,0.29
25,Workdays,139.0
25,Plastics,0.068
25,Electro components,0.053
25,Steel,1.8
25,Fabric,0.004
25,Mechanical components,0.42
26,Workdays,82.0
26,Plastics,0.044
26,Electro components,0.028
26,Steel,1.1
26,Fabric,0.004
26,Mechanical components,0.22
27,Workdays,112.0
27,Plastics,0.064
27,Electro components,0.035
27,Steel,1.5
27,Fabric,0.004
27,Mechanical components,0.27
28,Workdays,300.0
28,Plastics,0.2
28,Electro components,0.072
28,Steel,4.4
28,Fabric,0.005
28,Mechanical components,0.51
